t, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta
0.550500, 0.433013, 0.363428, 2.094395, 1.401778
0.552000, 0.433013, 0.363988, 2.094395, 1.399723
0.553500, 0.433013, 0.364551, 2.094395, 1.397673
0.555000, 0.433013, 0.365117, 2.094395, 1.395626
0.556500, 0.433013, 0.365687, 2.094395, 1.393583
0.558000, 0.433013, 0.366260, 2.094395, 1.391544
0.559500, 0.433013, 0.366836, 2.094395, 1.389509
0.561000, 0.433013, 0.367416, 2.094395, 1.387477
0.562500, 0.433013, 0.367998, 2.094395, 1.385449
0.564000, 0.433013, 0.368584, 2.094395, 1.383426
0.565500, 0.433013, 0.369172, 2.094395, 1.381406
0.567000, 0.433013, 0.369763, 2.094395, 1.379390
0.568500, 0.433013, 0.370357, 2.094395, 1.377378
0.570000, 0.433013, 0.370953, 2.094395, 1.375370
0.571500, 0.433013, 0.371552, 2.094395, 1.373367
0.573000, 0.433013, 0.372153, 2.094395, 1.371367
0.574500, 0.433013, 0.372757, 2.094395, 1.369371
0.576000, 0.433013, 0.373362, 2.094395, 1.367380
0.577500, 0.433013, 0.373970, 2.094395, 1.365393
0.579000, 0.433013, 0.374580, 2.094395, 1.363410
0.580500, 0.433013, 0.375192, 2.094395, 1.361431
0.582000, 0.433013, 0.375804, 2.094395, 1.359456
0.583500, 0.433013, 0.376417, 2.094395, 1.357485
0.585000, 0.433013, 0.377031, 2.094395, 1.355519
0.586500, 0.433013, 0.377646, 2.094395, 1.353557
0.588000, 0.433013, 0.378263, 2.094395, 1.351600
0.589500, 0.433013, 0.378881, 2.094395, 1.349648
0.591000, 0.433013, 0.379501, 2.094395, 1.347701
0.592500, 0.433013, 0.380122, 2.094395, 1.345759
0.594000, 0.433013, 0.380744, 2.094395, 1.343821
0.595500, 0.433013, 0.381368, 2.094395, 1.341888
0.597000, 0.433013, 0.381993, 2.094395, 1.339960
0.598500, 0.433013, 0.382620, 2.094395, 1.338037
0.600000, 0.433013, 0.383247, 2.094395, 1.336119
0.601500, 0.433013, 0.383875, 2.094395, 1.334206
0.603000, 0.433013, 0.384505, 2.094395, 1.332297
0.604500, 0.433013, 0.385135, 2.094395, 1.330394
0.606000, 0.433013, 0.385765, 2.094395, 1.328495
0.607500, 0.433013, 0.386397, 2.094395, 1.326601
0.609000, 0.433013, 0.387029, 2.094395, 1.324712
0.610500, 0.433013, 0.387661, 2.094395, 1.322828
0.612000, 0.433013, 0.388294, 2.094395, 1.320949
0.613500, 0.433013, 0.388927, 2.094395, 1.319075
0.615000, 0.433013, 0.389560, 2.094395, 1.317206
0.616500, 0.433013, 0.390193, 2.094395, 1.315343
0.618000, 0.433013, 0.390826, 2.094395, 1.313484
0.619500, 0.433013, 0.391460, 2.094395, 1.311630
0.621000, 0.433013, 0.392092, 2.094395, 1.309782
0.622500, 0.433013, 0.392725, 2.094395, 1.307939
0.624000, 0.433013, 0.393357, 2.094395, 1.306101
0.625500, 0.433013, 0.393989, 2.094395, 1.304268
0.627000, 0.433013, 0.394620, 2.094395, 1.302440
0.628500, 0.433013, 0.395251, 2.094395, 1.300618
0.630000, 0.433013, 0.395879, 2.094395, 1.298801
0.631500, 0.433013, 0.396506, 2.094395, 1.296988
0.633000, 0.433013, 0.397131, 2.094395, 1.295181
0.634500, 0.433013, 0.397755, 2.094395, 1.293380
0.636000, 0.433013, 0.398377, 2.094395, 1.291584
0.637500, 0.433013, 0.398999, 2.094395, 1.289794
0.639000, 0.433013, 0.399619, 2.094395, 1.288010
0.640500, 0.433013, 0.400239, 2.094395, 1.286232
0.642000, 0.433013, 0.400857, 2.094395, 1.284460
0.643500, 0.433013, 0.401474, 2.094395, 1.282694
0.645000, 0.433013, 0.402089, 2.094395, 1.280935
0.646500, 0.433013, 0.402704, 2.094395, 1.279181
0.648000, 0.433013, 0.403316, 2.094395, 1.277433
0.649500, 0.433013, 0.403928, 2.094395, 1.275692
0.651000, 0.433013, 0.404537, 2.094395, 1.273956
0.652500, 0.433013, 0.405145, 2.094395, 1.272227
0.654000, 0.433013, 0.405751, 2.094395, 1.270504
0.655500, 0.433013, 0.406356, 2.094395, 1.268787
0.657000, 0.433013, 0.406958, 2.094395, 1.267076
0.658500, 0.433013, 0.407558, 2.094395, 1.265371
0.660000, 0.433013, 0.408157, 2.094395, 1.263673
0.661500, 0.433013, 0.408753, 2.094395, 1.261981
0.663000, 0.433013, 0.409347, 2.094395, 1.260295
0.664500, 0.433013, 0.409938, 2.094395, 1.258615
0.666000, 0.433013, 0.410527, 2.094395, 1.256942
